	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
IFFO2	1095	1397	636	978	384	705
LOC105376815	1	3	0	1	1	0
UBR4	7198	24088	14721	13224	10834	13301
EMC1-AS1	20	57	54	44	31	35
EMC1	2262	2551	2793	3160	1607	2339
MRTO4	1859	2437	1018	1102	1071	1084
AKR7L	11	28	13	20	17	12
AKR7A3	7	16	27	13	11	14
LOC124903867	18	29	40	54	29	37
LOC100506730	54	68	144	138	75	105
AKR7A2	911	699	1387	1913	1071	1355
SLC66A1	936	2455	1100	1264	664	845
CAPZB	10358	8288	8608	9039	7229	8272
LOC124903868	1	0	0	1	0	2
LOC124903869	1	1	0	1	0	0
LOC105376819	41	20	25	35	10	10
LOC105376818	0	0	0	0	0	0
LOC105376817	0	0	0	0	0	0
LOC124904816	0	0	0	0	1	2
MICOS10-DT	0	1	2	3	2	2
MICOS10-NBL1	0	0	0	0	0	0
MICOS10	664	1127	405	858	899	879
RPS14P3	30	25	42	52	63	48
NBL1	7	8	2	13	1	5
HTR6	2	4	5	1	1	2
TMCO4	74	75	39	43	36	51
RNF186	0	4	1	0	1	1
LOC105376823	0	0	0	0	0	0
OTUD3	1045	1603	1360	981	721	1315
PLA2G2E	0	0	0	0	0	0
PLA2G2A	24	3	32	45	1	52
PLA2G5	1	1	15	97	10	37
PLA2G2D	1	4	2	0	1	0
PLA2G2F	1	0	0	0	0	0
LOC117779438	1	1	0	0	0	1
PLA2G2C	1	3	0	0	1	1
UBXN10	18	21	10	10	18	53
LOC105376825	1	1	0	0	0	0
LOC105376826	0	3	0	0	0	0
LINC01757	0	0	0	0	0	0
LOC105376828	0	0	0	0	0	0
VWA5B1	5	10	11	5	5	13
LOC124903870	0	0	3	0	0	1
LINC01141	1	2	3	1	3	1
LOC124903871	0	0	0	0	0	0
CAMK2N1	821	880	528	429	541	767
MUL1	1173	3839	1618	2279	1480	1817
FAM43B	12	1	40	105	16	28
CDA	4	2	20	21	0	6
PINK1	280	1476	953	1785	1042	1309
MIR6084	0	0	0	0	0	0
PINK1-AS	102	415	153	154	94	113
DDOST	7008	17569	10645	11901	3646	5674
KIF17	219	374	72	75	62	61
SH2D5	201	711	62	25	224	228
HP1BP3	3924	3822	5227	5097	4041	4927
EIF4G3	3157	3365	5211	3828	3569	4582
LOC105376830	3	0	0	0	1	0
LOC105376829	0	6	2	1	0	0
MIR1256	0	0	0	0	0	0
ECE1	13209	6237	7469	16114	3409	4224
LOC124903872	8	1	3	9	3	5
ECE1-AS1	5	4	8	15	4	8
LOC105376832	0	0	0	0	0	0
NBPF3	188	145	311	369	84	203
ALPL	45	31	143	219	92	58
LINC02596	2	0	0	0	0	0
RAP1GAP	241	263	495	681	211	251
USP48	1859	1561	2563	2256	2482	2624
LDLRAD2	13	2	11	21	8	14
HSPG2	10005	4667	32675	50143	12855	16146
CELA3B	6	5	0	0	2	0
CELA3A	1	2	0	1	0	0
LINC01635	11	9	15	25	5	17
LINC00339	211	195	309	525	273	255
CDC42	13073	10547	9491	10662	9714	10419
WNT4	71	22	179	188	134	69
